pds, SNR, PSNR, Ms = 400
0.40, 15.00, 22.46
0.50, 15.00, 22.51
0.60, 15.00, 22.97
0.70, 15.00, 22.68
0.80, 15.00, 22.45
0.90, 15.00, 22.77
1.00, 15.00, 22.38
1.10, 15.00, 23.05
1.20, 15.00, 22.71
1.30, 15.00, 23.60
1.40, 15.00, 22.69
1.50, 15.00, 22.58
1.60, 15.00, 22.99
1.70, 15.00, 22.22
1.80, 15.00, 23.67
1.90, 15.00, 22.96
2.00, 15.00, 23.11
2.10, 15.00, 22.87
2.20, 15.00, 23.47
2.30, 15.00, 23.10
2.40, 15.00, 23.45
2.50, 15.00, 22.45
2.60, 15.00, 22.81
2.70, 15.00, 23.75
2.80, 15.00, 23.19
2.90, 15.00, 23.06
3.00, 15.00, 23.24
3.10, 15.00, 23.73
3.20, 15.00, 23.12
3.30, 15.00, 23.48
3.40, 15.00, 23.21
3.50, 15.00, 24.13
3.60, 15.00, 23.95
3.70, 15.00, 24.19
3.80, 15.00, 23.79
3.90, 15.00, 24.60
4.00, 15.00, 23.89
